id,contestTitle,shortDescription,longDescription,contestAward,contestLocation,contestCategory,contestLink,contestHost,registrationDate,deliveryDate,restrictedLocation,minimumAge,maximumAge,maximalParticipation,participationCost,attendingSchool,mainImageUrl,detailImageUrl,IsFavourite
30,Europäischer Naturwissenschafts-Wettbewerb 2025,"Fächerübergreifender Wettbewerb in Biologie, Chemie und Physik.","Ein europaweiter Wettbewerb, der Deutschland im Bereich Naturwissenschaften vertritt.",Urkunden & Medaillen,Europaweit,Biologie,https://www.bmbf.de/DE/Bildung/Schule/SchuelerUndJugendwettbewerbe/schuelerundjugendwettbewerbe_node.html,BMBF,2025-03-01,2025-07-01,keine,14,99,1,0,true,https://www.bmbf.de/images/naturwissenschaft1.jpg,https://www.bmbf.de/images/naturwissenschaft2.jpg,false
31,Frühjahrsfinale 2025,Bundesweiter Schulsportwettbewerb.,"Deutschlands beste 360 Schulteams treffen sich in Berlin, um die Bundessieger in 24 Wettbewerbsklassen zu ermitteln.","Urkunden, Medaillen & Preise","Berlin, Deutschland",Sport,https://www.dtb.de/artikel/fruehjahrsfinale-2025,Deutscher Turner-Bund (DTB),2024-10-01,2025-05-22,Bundesweit,12,18,6,0,true,https://www.dtb.de/images/fruehjahrsfinale1.jpg,https://www.dtb.de/images/fruehjahrsfinale2.jpg,false
32,Sterne des Sports 2025,Förderung von Sportprojekten.,"Ein Wettbewerb für Sportvereine und Schülergruppen, bei dem innovative Sportprojekte prämiert werden.",Preisgelder & Anerkennungen,Deutschlandweit,Sport,https://www.sterne-des-sports.de/wettbewerb/teilnahme,Volksbanken Raiffeisenbanken,2025-04-01,2025-06-30,Bundesweit,12,99,1,0,false,https://www.sterne-des-sports.de/images/sterne1.jpg,https://www.sterne-des-sports.de/images/sterne2.jpg,false
33,Jugend trainiert für Olympia & Paralympics 2025,Größter Schulsport-Wettbewerb in Deutschland.,"Ein Wettbewerb für Schüler*innen, die in regionalen und bundesweiten Runden in verschiedenen Sportarten antreten.","Urkunden, Medaillen & Preise",Deutschlandweit,Sport,https://www.jugendtrainiert.com/,Deutsche Schulsportstiftung,2024-09-01,2025-07-01,Bundesweit,12,18,6,0,true,https://www.jugendtrainiert.com/images/jtfo1.jpg,https://www.jugendtrainiert.com/images/jtfo2.jpg,false
34,WATT-Wettbewerb 2025,Sport und Klimaschutz für Schüler.,"Ein Wettbewerb, bei dem Schüler*innen Sportprojekte mit einem Schwerpunkt auf Nachhaltigkeit und Klimaschutz entwickeln.",Sachpreise & Urkunden,Baden-Württemberg,Sport,https://km.baden-wuerttemberg.de/de/service/watt-wettbewerbe-aktionen-tipps-termine/watt-wettbewerbe,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg",2024-11-01,2025-04-23,Baden-Württemberg,16,18,1,0,true,https://km.baden-wuerttemberg.de/images/watt1.jpg,https://km.baden-wuerttemberg.de/images/watt2.jpg,false
35,Schulsportpreis 2025,Preis für die besten Schulsportprojekte.,"Ein Wettbewerb, bei dem Schulen für innovative Schulsportprojekte ausgezeichnet werden.",Preisgelder & Anerkennungen,Deutschlandweit,Sport,https://www.bmbf.de/DE/Bildung/Schule/SchuelerUndJugendwettbewerbe/schuelerundjugendwettbewerbe_node.html,Bundesministerium für Bildung und Forschung (BMBF),2024-10-01,2025-06-30,Bundesweit,12,18,1,0,true,https://www.bmbf.de/images/schulsport1.jpg,https://www.bmbf.de/images/schulsport2.jpg,false
36,Wir machen Demokratie 2025,Schüler*innen setzen politische Projekte um.,"Ein Wettbewerb, bei dem Schüler*innen politische Projekte in ihrer Schule oder Region realisieren und sich aktiv in die Politik einbringen.",Urkunden & Sachpreise,Deutschlandweit,Politik und Gesellschaft,https://www.bundesstiftung-helmut-kohl.de/schuelerwettbewerb-2025/wir-machen-demokratie,Bundeskanzler-Helmut-Kohl-Stiftung,2024-10-01,2025-05-01,Bundesweit,12,18,1,0,true,https://www.bundesstiftung-helmut-kohl.de/images/demokratie1.jpg,https://www.bundesstiftung-helmut-kohl.de/images/demokratie2.jpg,false
37,Schülerwettbewerb zur politischen Bildung 2025,Förderung des politischen Interesses von Schüler*innen.,"Ein Wettbewerb mit vielfältigen Themen und der Möglichkeit, gesellschaftspolitische Projekte zu gestalten.","Reisen, Geldpreise & Sachpreise",Deutschlandweit,Politik und Gesellschaft,https://www.bpb.de/lernen/angebote/schuelerwettbewerb/,Bundeszentrale für politische Bildung,2024-09-01,2025-03-01,Bundesweit,10,18,1,0,true,https://www.bpb.de/images/schuelerwettbewerb1.jpg,https://www.bpb.de/images/schuelerwettbewerb2.jpg,false
38,Schulklassen erleben Politik hautnah 2025,Ein Wettbewerb für Schulklassen.,Schüler*innen erleben Politik hautnah und setzen sich mit gesellschaftlichen Themen auseinander.,Reisen & Geldpreise bis zu 2.000 Euro,Bayern,Politik und Gesellschaft,https://www.km.bayern.de/wettbewerb/schulklassen-erleben-politik-hautnah,Bayerisches Kultusministerium,2024-09-01,2025-03-01,Bayern,10,18,30,0,true,https://www.km.bayern.de/images/politikhautnah1.jpg,https://www.km.bayern.de/images/politikhautnah2.jpg,false
39,Berliner Schülerwettbewerb 2025,Ein Videowettbewerb für Berliner Schüler.,Schüler*innen erstellen Videos zu gesellschaftspolitischen Themen und laden diese online ein.,Urkunden & Sachpreise,Berlin,Politik und Gesellschaft,https://www.bundesstiftung-helmut-kohl.de/schuelerwettbewerb-2025,Bundeskanzler-Helmut-Kohl-Stiftung,2024-11-01,2025-03-01,Berlin,12,18,1,0,true,https://www.bundesstiftung-helmut-kohl.de/images/berlin1.jpg,https://www.bundesstiftung-helmut-kohl.de/images/berlin2.jpg,false
40,Vielfalt im Klassenzimmer 2025,Förderung von Offenheit und Respekt.,"Ein Wettbewerb, bei dem Schüler*innen Projekte zur Förderung von Vielfalt und Respekt in der Gesellschaft entwickeln.",Urkunden & Sachpreise,Berlin,Politik und Gesellschaft,https://www.berlin.de/sen/bildung/unterricht/wettbewerbe/politik/,Berliner Senatsverwaltung für Bildung,2024-09-01,2025-03-01,Berlin,10,18,1,0,true,https://www.berlin.de/images/vielfalt1.jpg,https://www.berlin.de/images/vielfalt2.jpg,false
41,Wir machen Demokratie 2025,Schüler*innen setzen politische Projekte um.,"Ein Wettbewerb, bei dem Schüler*innen politische Projekte in ihrer Schule oder Region realisieren und sich aktiv in die Politik einbringen.",Urkunden & Sachpreise,Deutschlandweit,Politik und Gesellschaft,https://www.bundesstiftung-helmut-kohl.de/schuelerwettbewerb-2025/wir-machen-demokratie,Bundeskanzler-Helmut-Kohl-Stiftung,2024-10-01,2025-05-01,Bundesweit,12,18,1,0,true,https://www.bundesstiftung-helmut-kohl.de/images/demokratie1.jpg,https://www.bundesstiftung-helmut-kohl.de/images/demokratie2.jpg,false
42,Schülerwettbewerb zur politischen Bildung 2025,Förderung des politischen Interesses von Schüler*innen.,"Ein Wettbewerb mit vielfältigen Themen und der Möglichkeit, gesellschaftspolitische Projekte zu gestalten.","Reisen, Geldpreise & Sachpreise",Deutschlandweit,Politik und Gesellschaft,https://www.bpb.de/lernen/angebote/schuelerwettbewerb/,Bundeszentrale für politische Bildung,2024-09-01,2025-03-01,Bundesweit,10,18,1,0,true,https://www.bpb.de/images/schuelerwettbewerb1.jpg,https://www.bpb.de/images/schuelerwettbewerb2.jpg,false
43,Schulklassen erleben Politik hautnah 2025,Ein Wettbewerb für Schulklassen.,Schüler*innen erleben Politik hautnah und setzen sich mit gesellschaftlichen Themen auseinander.,Reisen & Geldpreise bis zu 2.000 Euro,Bayern,Politik und Gesellschaft,https://www.km.bayern.de/wettbewerb/schulklassen-erleben-politik-hautnah,Bayerisches Kultusministerium,2024-09-01,2025-03-01,Bayern,10,18,30,0,true,https://www.km.bayern.de/images/politikhautnah1.jpg,https://www.km.bayern.de/images/politikhautnah2.jpg,false
44,Berliner Schülerwettbewerb 2025,Ein Videowettbewerb für Berliner Schüler.,Schüler*innen erstellen Videos zu gesellschaftspolitischen Themen und laden diese online ein.,Urkunden & Sachpreise,Berlin,Politik und Gesellschaft,https://www.bundesstiftung-helmut-kohl.de/schuelerwettbewerb-2025,Bundeskanzler-Helmut-Kohl-Stiftung,2024-11-01,2025-03-01,Berlin,12,18,1,0,true,https://www.bundesstiftung-helmut-kohl.de/images/berlin1.jpg,https://www.bundesstiftung-helmut-kohl.de/images/berlin2.jpg,false
45,Vielfalt im Klassenzimmer 2025,Förderung von Offenheit und Respekt.,"Ein Wettbewerb, bei dem Schüler*innen Projekte zur Förderung von Vielfalt und Respekt in der Gesellschaft entwickeln.",Urkunden & Sachpreise,Berlin,Politik und Gesellschaft,https://www.berlin.de/sen/bildung/unterricht/wettbewerbe/politik/,Berliner Senatsverwaltung für Bildung,2024-09-01,2025-03-01,Berlin,10,18,1,0,true,https://www.berlin.de/images/vielfalt1.jpg,https://www.berlin.de/images/vielfalt2.jpg,false
46,Schreibwettbewerb „Schöne deutsche Sprache“ 2025,Kreatives Schreiben zum Thema 'Weißt du noch?',Förderung kreativer Sprachverwendung und literarischer Texte.,Urkunden & Sachpreise,Deutschlandweit,Sprachlich-Literarisch,https://fruchtbringende-gesellschaft.de/article/schreibwettbewerb,Neue Fruchtbringende Gesellschaft,2024-09-01,2025-03-01,Bundesweit,10,18,1,0,true,https://fruchtbringende-gesellschaft.de/images/schreibwettbewerb1.jpg,https://fruchtbringende-gesellschaft.de/images/schreibwettbewerb2.jpg,false
47,Edit-Preis für literarische Essays 2025,Essays zum Thema 'Grenzen'.,Ein Wettbewerb im Rahmen des Festivals 'Politik im Freien Theater'.,Urkunden & Sachpreise,Deutschlandweit,Sprachlich-Literarisch,https://www.literaturcafe.de/rubrik/schreibwettbewerbe/,Literaturcafé,2024-10-01,2025-05-01,Bundesweit,10,18,1,0,true,https://www.literaturcafe.de/images/editpreis1.jpg,https://www.literaturcafe.de/images/editpreis2.jpg,false
48,Bundeswettbewerb Fremdsprachen 2025,Förderung von Fremdsprachenkenntnissen.,"Ein Wettbewerb für Schüler der Klassen 6 bis 13 sowie Auszubildende, der Neugier auf fremde Sprachen und Kulturen weckt.",Urkunden & Sachpreise,Deutschlandweit,Sprachlich-Literarisch,https://www.bundeswettbewerb-fremdsprachen.de/,Bildung & Begabung,2024-09-01,2025-03-01,Bundesweit,12,20,1,0,true,https://www.bundeswettbewerb-fremdsprachen.de/images/bwf1.jpg,https://www.bundeswettbewerb-fremdsprachen.de/images/bwf2.jpg,false
49,Jugend forscht 2025,Förderung von Naturwissenschaften und Technik.,Deutschlands bekanntester und Europas erfolgreichster MINT-Wettbewerb.,Urkunden & Sachpreise,Deutschlandweit,MINT,https://www.experimenta.science/jufo/,Jugend forscht,2024-09-01,2025-03-01,Bundesweit,10,21,1,0,true,https://www.experimenta.science/images/jufo1.jpg,https://www.experimenta.science/images/jufo2.jpg,false
50,Invent a Chip 2025,Ein Schülerwettbewerb zu Mikrochips und KI.,Förderung technischer und logischer Fähigkeiten durch praktische Projekte.,Urkunden & Sachpreise,Deutschlandweit,MINT,https://www.invent-a-chip.de/invent-a-chip,VDE & BMBF,2024-10-01,2025-05-01,Bundesweit,14,20,1,0,true,https://www.invent-a-chip.de/images/chip1.jpg,https://www.invent-a-chip.de/images/chip2.jpg,false
51,Bundeswettbewerb Mathematik 2025,Ein Wettbewerb für Mathefans.,"Eine Challenge für Schüler, die sich für Mathematik begeistern.",Urkunden & Sachpreise,Deutschlandweit,MINT,https://www.berlin.de/sen/bildung/unterricht/wettbewerbe/mint/,Bundesministerium für Bildung,2024-11-01,2025-06-01,Bundesweit,10,20,1,0,true,https://www.berlin.de/images/mathe1.jpg,https://www.berlin.de/images/mathe2.jpg,false
52,MNU-Wettbewerb für Physik 2025,Förderung von Physikinteresse.,Ein bundesweiter Wettbewerb für Physik in der Sekundarstufe I.,Urkunden & Sachpreise,Deutschlandweit,MINT,https://www.mnu.de/wettbewerbe,MNU Verband,2024-10-01,2025-04-01,Bundesweit,12,16,1,0,true,https://www.mnu.de/images/physik1.jpg,https://www.mnu.de/images/physik2.jpg,false
53,MINT Zukunft schaffen 2025,Ehrung von MINT-freundlichen Schulen.,Eine Initiative zur Förderung von MINT-Schulen und Digitalisierung.,Urkunden & Sachpreise,Deutschlandweit,MINT,https://mintzukunftschaffen.de/termine-2025-der-nationalen-initiative-mint-zukunft-schaffen/,MINT Zukunft schaffen,2024-10-01,2025-05-01,Bundesweit,0,99,1,0,true,https://mintzukunftschaffen.de/images/mint1.jpg,https://mintzukunftschaffen.de/images/mint2.jpg,false
